,PUC
2019,1271.2
2020,1399.1
2021,776.2
2022,470.46999999999997
2023,831.9999999999999
2024,615.5300000000001
2025,62.077000000000005
2026,136.10000000000002
2027,911.0
2028,191.93
2029,795.0
2030,653.59
2031,195.05
2032,691.5699999999999
2033,913.1000000000001
2034,1448.1
2035,1111.6
2036,1043.0
2037,1807.6
2038,1635.5
2039,1324.8000000000002
2040,619.1299999999999
2041,1837.1000000000004
2042,1078.4
2043,560.45
2044,451.15
2045,468.31
2046,141.57000000000002
2047,1125.0
2048,868.0
2049,271.04
2050,379.40000000000003
2051,521.9399999999999
2052,194.53
2053,0.0
2054,480.40000000000003
2055,293.8
2056,49.662
2057,389.78000000000003
2058,373.94
2059,389.84000000000003
2060,218.37
2061,122.17999999999999
2062,316.26
2063,290.22999999999996
2064,107.35
2065,278.2
2066,258.43999999999994
2067,221.95000000000002
2068,1556.7
2069,1827.5
2070,1601.1
2071,1077.5
2072,1264.9999999999998
2073,983.0
2074,387.48
2075,437.85999999999996
2076,1116.6
2077,188.42999999999998
2078,664.74
2079,121.72
2080,504.68000000000006
2081,711.9000000000001
2082,985.1
2083,1291.1000000000001
2084,625.4599999999999
2085,509.91
2086,28.490999999999996
2087,655.1899999999999
2088,1157.0
2089,944.8
2090,1121.7
2091,933.9
2092,822.6999999999999
2093,988.1000000000001
2094,651.8
2095,296.36
2096,510.61
2097,621.59
2098,1036.8
2099,844.4
