,PUC
2019,1271.2
2020,2437.4
2021,2278.2
2022,1514.2
2023,797.1
2024,170.5
2025,74.82300000000001
2026,1330.4
2027,699.89
2028,507.89
2029,667.27
2030,716.13
2031,1429.6999999999998
2032,335.99999999999994
2033,1296.8000000000002
2034,1160.7
2035,1092.4
2036,489.74
2037,1670.1
2038,660.74
2039,699.4300000000001
2040,644.03
2041,1384.1
2042,851.8
2043,319.84000000000003
2044,34.839
2045,708.75
2046,31.994999999999997
2047,276.21
2048,0.0
2049,585.6899999999999
2050,252.72000000000003
2051,968.3
2052,336.82000000000005
2053,206.64
2054,641.77
2055,964.9
2056,1217.1
2057,384.15
2058,659.98
2059,1931.9
2060,1082.3000000000002
2061,1194.9
2062,2205.2
2063,1607.1000000000001
2064,2248.8
2065,1254.0
2066,1935.6
2067,1396.4
2068,3089.7000000000003
2069,881.2
2070,839.1
2071,890.9
2072,1257.1
2073,933.5
2074,2240.4
2075,1279.9
2076,291.03999999999996
2077,1402.7
2078,623.91
2079,691.73
2080,1017.3
2081,1566.9000000000003
2082,472.07
2083,2060.2
2084,778.9
2085,612.61
2086,1770.4999999999998
2087,2096.0
2088,550.79
2089,716.47
2090,284.78
2091,111.6
2092,32.891
2093,1961.1
2094,1895.8000000000002
2095,1301.3
2096,1248.8999999999999
2097,1373.3
2098,3162.1
2099,1407.0
