date,PUC
2019-12-31,2829.0
2020-12-31,4771.0
2021-12-31,4369.0
2022-12-31,5162.0
2023-12-31,1754.0
2024-12-31,1724.0
2025-12-31,2211.0
2026-12-31,3722.0
2027-12-31,4217.0
2028-12-31,3993.0
2029-12-31,2357.0
2030-12-31,5017.0
2031-12-31,2128.0
2032-12-31,3239.0
2033-12-31,4599.0
2034-12-31,5006.0
2035-12-31,2388.0
2036-12-31,5524.0
2037-12-31,2403.0
2038-12-31,4013.0
2039-12-31,6064.0
2040-12-31,7578.0
2041-12-31,4166.0
2042-12-31,2765.0
2043-12-31,966.9
2044-12-31,6608.0
2045-12-31,3064.0
2046-12-31,2445.0
2047-12-31,2230.0
2048-12-31,3580.0
2049-12-31,1727.0
2050-12-31,4458.0
2051-12-31,2550.0
2052-12-31,2082.0
2053-12-31,5766.0
2054-12-31,2842.0
2055-12-31,9264.0
2056-12-31,1887.0
2057-12-31,5598.0
2058-12-31,2000.0
2059-12-31,3593.0
2060-12-31,2568.0
2061-12-31,7510.0
2062-12-31,4310.0
2063-12-31,5861.0
2064-12-31,2990.0
2065-12-31,1838.0
2066-12-31,5234.0
2067-12-31,4454.0
2068-12-31,5859.0
2069-12-31,1967.0
2070-12-31,3451.0
2071-12-31,2363.0
2072-12-31,5218.0
2073-12-31,6150.0
2074-12-31,4516.0
2075-12-31,3521.0
2076-12-31,2324.0
2077-12-31,3468.0
2078-12-31,2822.0
2079-12-31,1831.0
2080-12-31,5619.0
2081-12-31,2939.0
2082-12-31,2591.0
2083-12-31,3037.0
2084-12-31,4606.0
2085-12-31,5603.0
2086-12-31,3667.0
2087-12-31,3179.0
2088-12-31,2268.0
2089-12-31,2269.0
2090-12-31,3559.0
2091-12-31,1547.0
2092-12-31,8316.0
2093-12-31,8447.0
2094-12-31,3544.0
2095-12-31,3494.0
2096-12-31,2094.0
2097-12-31,4513.0
2098-12-31,8491.0
2099-12-31,12010.0
