,PUC
2019,1271.2
2020,1405.4999999999998
2021,681.81
2022,1656.1999999999998
2023,604.2600000000001
2024,591.26
2025,663.1800000000001
2026,300.73
2027,1014.9000000000001
2028,481.12999999999994
2029,854.4
2030,822.82
2031,1036.0
2032,967.0
2033,480.7199999999999
2034,503.52
2035,1129.5
2036,503.46000000000004
2037,14.1
2038,345.35
2039,1436.5
2040,249.09000000000003
2041,0.15119
2042,432.72
2043,190.82
2044,15.059000000000001
2045,1364.6000000000001
2046,582.02
2047,712.5
2048,214.39
2049,99.16
2050,224.09
2051,448.65000000000003
2052,503.59000000000003
2053,231.55
2054,253.14000000000001
2055,766.8000000000001
2056,256.63
2057,0.0
2058,49.246
2059,129.31
2060,440.35
2061,333.87
2062,28.781
2063,1042.0
2064,768.7
2065,144.20000000000002
2066,0.0
2067,197.9
2068,178.67000000000002
2069,780.8
2070,167.47999999999996
2071,2108.7000000000003
2072,1273.0
2073,852.7
2074,498.66999999999996
2075,188.43999999999997
2076,276.76
2077,1051.8
2078,571.6800000000001
2079,1554.9
2080,583.52
2081,229.81
2082,2028.0
2083,924.8
2084,1382.1999999999998
2085,617.92
2086,423.4
2087,90.5
2088,0.0
2089,0.0
2090,0.0
2091,147.67
2092,225.31
2093,17.985
2094,0.0
2095,378.62
2096,604.8000000000001
2097,484.8299999999999
2098,1071.1999999999998
2099,1067.7
