date,PUC
2019-12-31,2829.0
2020-12-31,6190.0
2021-12-31,2133.0
2022-12-31,4277.0
2023-12-31,3006.0
2024-12-31,5080.0
2025-12-31,1166.0
2026-12-31,1669.0
2027-12-31,3360.0
2028-12-31,2348.0
2029-12-31,3598.0
2030-12-31,889.3
2031-12-31,581.9
2032-12-31,2621.0
2033-12-31,4266.0
2034-12-31,1886.0
2035-12-31,2869.0
2036-12-31,2619.0
2037-12-31,3375.0
2038-12-31,1710.0
2039-12-31,3308.0
2040-12-31,1007.0
2041-12-31,3613.0
2042-12-31,5401.0
2043-12-31,2317.0
2044-12-31,2825.0
2045-12-31,5112.0
2046-12-31,2851.0
2047-12-31,3234.0
2048-12-31,2786.0
2049-12-31,2012.0
2050-12-31,3814.0
2051-12-31,4107.0
2052-12-31,2503.0
2053-12-31,6374.0
2054-12-31,2063.0
2055-12-31,2082.0
2056-12-31,2740.0
2057-12-31,2712.0
2058-12-31,4488.0
2059-12-31,1149.0
2060-12-31,1240.0
2061-12-31,3379.0
2062-12-31,3287.0
2063-12-31,3472.0
2064-12-31,5295.0
2065-12-31,3326.0
2066-12-31,2249.0
2067-12-31,2752.0
2068-12-31,2465.0
2069-12-31,2987.0
2070-12-31,4172.0
2071-12-31,3076.0
2072-12-31,3177.0
2073-12-31,1515.0
2074-12-31,1848.0
2075-12-31,2030.0
2076-12-31,3490.0
2077-12-31,3440.0
2078-12-31,1776.0
2079-12-31,3350.0
2080-12-31,3720.0
2081-12-31,2797.0
2082-12-31,5555.0
2083-12-31,1227.0
2084-12-31,5338.0
2085-12-31,2776.0
2086-12-31,2904.0
2087-12-31,2070.0
2088-12-31,3754.0
2089-12-31,1567.0
2090-12-31,4795.0
2091-12-31,5738.0
2092-12-31,1617.0
2093-12-31,2265.0
2094-12-31,5507.0
2095-12-31,1397.0
2096-12-31,2352.0
2097-12-31,2388.0
2098-12-31,2561.0
2099-12-31,3379.0
