date,PUC
2019-12-31,2829.0
2020-12-31,3333.0
2021-12-31,5386.0
2022-12-31,1588.0
2023-12-31,2992.0
2024-12-31,2712.0
2025-12-31,5861.0
2026-12-31,12400.0
2027-12-31,2550.0
2028-12-31,4655.0
2029-12-31,5579.0
2030-12-31,1734.0
2031-12-31,5964.0
2032-12-31,2368.0
2033-12-31,1230.0
2034-12-31,2941.0
2035-12-31,4511.0
2036-12-31,3313.0
2037-12-31,827.5
2038-12-31,3741.0
2039-12-31,3896.0
2040-12-31,3037.0
2041-12-31,5613.0
2042-12-31,3424.0
2043-12-31,3408.0
2044-12-31,2475.0
2045-12-31,8452.0
2046-12-31,4018.0
2047-12-31,2783.0
2048-12-31,3970.0
2049-12-31,665.7
2050-12-31,413.3
2051-12-31,2387.0
2052-12-31,1023.0
2053-12-31,1165.0
2054-12-31,4515.0
2055-12-31,1710.0
2056-12-31,6038.0
2057-12-31,4442.0
2058-12-31,1467.0
2059-12-31,4205.0
2060-12-31,4674.0
2061-12-31,2378.0
2062-12-31,4956.0
2063-12-31,2453.0
2064-12-31,2935.0
2065-12-31,5456.0
2066-12-31,3453.0
2067-12-31,2978.0
2068-12-31,3054.0
2069-12-31,3427.0
2070-12-31,4441.0
2071-12-31,4585.0
2072-12-31,2822.0
2073-12-31,3899.0
2074-12-31,5646.0
2075-12-31,2377.0
2076-12-31,2539.0
2077-12-31,2010.0
2078-12-31,1945.0
2079-12-31,6683.0
2080-12-31,2766.0
2081-12-31,2183.0
2082-12-31,4182.0
2083-12-31,3441.0
2084-12-31,3967.0
2085-12-31,2190.0
2086-12-31,1511.0
2087-12-31,4038.0
2088-12-31,1922.0
2089-12-31,4808.0
2090-12-31,6479.0
2091-12-31,2055.0
2092-12-31,4880.0
2093-12-31,3133.0
2094-12-31,3421.0
2095-12-31,1898.0
2096-12-31,4792.0
2097-12-31,2012.0
2098-12-31,4414.0
2099-12-31,3583.0
