,PUC
2019,1271.2
2020,1382.3
2021,1213.7
2022,752.1
2023,1087.4
2024,1226.6999999999998
2025,1680.1999999999998
2026,1526.3999999999999
2027,861.5
2028,537.8000000000001
2029,650.59
2030,168.41
2031,1246.9
2032,991.3999999999999
2033,122.64
2034,3.5224
2035,509.38
2036,1058.6000000000001
2037,1302.0
2038,472.1600000000001
2039,326.32000000000005
2040,1307.6
2041,285.72
2042,434.24999999999994
2043,56.507000000000005
2044,654.27
2045,691.28
2046,428.31000000000006
2047,661.37
2048,68.91
2049,493.48
2050,1666.6999999999998
2051,818.0
2052,1657.8000000000002
2053,763.12
2054,526.84
2055,157.56
2056,0.0
2057,69.421
2058,1122.3
2059,896.1000000000001
2060,960.8
2061,976.0
2062,1058.4
2063,1360.5
2064,445.15
2065,206.98999999999998
2066,395.34999999999997
2067,1529.7
2068,1234.1
2069,1018.6000000000001
2070,632.34
2071,1568.2
2072,1717.3000000000002
2073,1461.2
2074,569.23
2075,255.36999999999998
2076,20.29
2077,0.0
2078,988.0999999999999
2079,503.62
2080,1008.5
2081,465.32000000000005
2082,871.7
2083,593.86
2084,452.30999999999995
2085,453.3
2086,312.58
2087,685.62
2088,548.62
2089,1186.2
2090,1956.6000000000001
2091,930.0999999999999
2092,3499.0999999999995
2093,1871.3999999999999
2094,2553.7
2095,1448.6000000000001
2096,2653.6000000000004
2097,1311.5
2098,352.59999999999997
2099,703.21
