,PUC
2019,1271.2
2020,2321.6
2021,2160.3
2022,2709.7999999999997
2023,2001.7999999999997
2024,1119.1
2025,125.47
2026,518.91
2027,483.14
2028,425.48999999999995
2029,82.21000000000001
2030,557.86
2031,544.89
2032,131.34000000000003
2033,0.0
2034,247.98000000000002
2035,877.9000000000001
2036,881.5
2037,479.05000000000007
2038,492.26
2039,1247.3
2040,930.6999999999998
2041,1702.5
2042,1060.3
2043,643.95
2044,337.69
2045,446.54999999999995
2046,564.99
2047,318.45000000000005
2048,0.0
2049,93.21
2050,77.265
2051,1094.9
2052,427.7
2053,153.48999999999998
2054,429.48
2055,240.7
2056,263.44000000000005
2057,1499.1000000000001
2058,1442.9
2059,965.5000000000001
2060,461.78
2061,622.41
2062,719.5600000000001
2063,1670.6
2064,816.1999999999999
2065,830.6
2066,1069.7
2067,771.7
2068,644.9799999999999
2069,1145.4
2070,1009.2
2071,410.40999999999997
2072,955.5
2073,1128.2
2074,556.9399999999999
2075,182.25
2076,520.34
2077,720.94
2078,863.4
2079,415.90999999999997
2080,436.65
2081,276.81
2082,291.83
2083,0.0
2084,0.3524
2085,83.0
2086,164.74
2087,503.19000000000005
2088,21.194000000000003
2089,224.3
2090,1064.7
2091,1210.5000000000002
2092,912.8
2093,1109.1000000000001
2094,423.03
2095,565.25
2096,195.91
2097,376.48
2098,27.606999999999996
2099,119.48
