date,PUC
2019-12-31,2829.0
2020-12-31,5364.0
2021-12-31,5698.0
2022-12-31,3717.0
2023-12-31,2879.0
2024-12-31,1686.0
2025-12-31,1692.0
2026-12-31,3083.0
2027-12-31,2287.0
2028-12-31,934.2
2029-12-31,3997.0
2030-12-31,1131.0
2031-12-31,2329.0
2032-12-31,573.1
2033-12-31,2401.0
2034-12-31,3662.0
2035-12-31,3274.0
2036-12-31,2114.0
2037-12-31,3055.0
2038-12-31,2678.0
2039-12-31,1606.0
2040-12-31,5881.0
2041-12-31,3633.0
2042-12-31,1926.0
2043-12-31,2400.0
2044-12-31,2967.0
2045-12-31,2297.0
2046-12-31,1252.0
2047-12-31,1646.0
2048-12-31,1985.0
2049-12-31,1699.0
2050-12-31,2545.0
2051-12-31,2748.0
2052-12-31,1464.0
2053-12-31,2223.0
2054-12-31,3833.0
2055-12-31,1082.0
2056-12-31,3293.0
2057-12-31,2753.0
2058-12-31,2192.0
2059-12-31,1722.0
2060-12-31,2810.0
2061-12-31,3660.0
2062-12-31,6159.0
2063-12-31,3565.0
2064-12-31,1762.0
2065-12-31,2832.0
2066-12-31,2154.0
2067-12-31,2743.0
2068-12-31,5628.0
2069-12-31,2646.0
2070-12-31,2849.0
2071-12-31,3212.0
2072-12-31,1728.0
2073-12-31,3726.0
2074-12-31,1828.0
2075-12-31,2403.0
2076-12-31,999.7
2077-12-31,3421.0
2078-12-31,2752.0
2079-12-31,1539.0
2080-12-31,3165.0
2081-12-31,1141.0
2082-12-31,2129.0
2083-12-31,1960.0
2084-12-31,1875.0
2085-12-31,2960.0
2086-12-31,3153.0
2087-12-31,1210.0
2088-12-31,2541.0
2089-12-31,3210.0
2090-12-31,3730.0
2091-12-31,2122.0
2092-12-31,3105.0
2093-12-31,3205.0
2094-12-31,955.0
2095-12-31,1623.0
2096-12-31,1836.0
2097-12-31,2117.0
2098-12-31,2149.0
2099-12-31,1625.0
