date,PUC
2019-12-31,2829.0
2020-12-31,1411.0
2021-12-31,2092.0
2022-12-31,2401.0
2023-12-31,1960.0
2024-12-31,3464.0
2025-12-31,3073.0
2026-12-31,1386.0
2027-12-31,3632.0
2028-12-31,1863.0
2029-12-31,2246.0
2030-12-31,3887.0
2031-12-31,1624.0
2032-12-31,2256.0
2033-12-31,2576.0
2034-12-31,2024.0
2035-12-31,2480.0
2036-12-31,1502.0
2037-12-31,3561.0
2038-12-31,2384.0
2039-12-31,1078.0
2040-12-31,2935.0
2041-12-31,2182.0
2042-12-31,1628.0
2043-12-31,2519.0
2044-12-31,3180.0
2045-12-31,3946.0
2046-12-31,3989.0
2047-12-31,1758.0
2048-12-31,2279.0
2049-12-31,2107.0
2050-12-31,2978.0
2051-12-31,1348.0
2052-12-31,2463.0
2053-12-31,2872.0
2054-12-31,3555.0
2055-12-31,3495.0
2056-12-31,3240.0
2057-12-31,3451.0
2058-12-31,1597.0
2059-12-31,4529.0
2060-12-31,1149.0
2061-12-31,4001.0
2062-12-31,2724.0
2063-12-31,3291.0
2064-12-31,3554.0
2065-12-31,1459.0
2066-12-31,3970.0
2067-12-31,2930.0
2068-12-31,1942.0
2069-12-31,3972.0
2070-12-31,2891.0
2071-12-31,2306.0
2072-12-31,3311.0
2073-12-31,1569.0
2074-12-31,4202.0
2075-12-31,2267.0
2076-12-31,1893.0
2077-12-31,2318.0
2078-12-31,3925.0
2079-12-31,4019.0
2080-12-31,2177.0
2081-12-31,5383.0
2082-12-31,2530.0
2083-12-31,4118.0
2084-12-31,2149.0
2085-12-31,1913.0
2086-12-31,1841.0
2087-12-31,1424.0
2088-12-31,1459.0
2089-12-31,2890.0
2090-12-31,1996.0
2091-12-31,1620.0
2092-12-31,3861.0
2093-12-31,1973.0
2094-12-31,2457.0
2095-12-31,1132.0
2096-12-31,2230.0
2097-12-31,2436.0
2098-12-31,3857.0
2099-12-31,2665.0
