,PUC
2019,1271.2
2020,1469.4
2021,915.2
2022,920.6
2023,945.1
2024,954.3000000000001
2025,606.97
2026,51.144999999999996
2027,688.35
2028,716.68
2029,526.63
2030,337.06000000000006
2031,428.21000000000004
2032,719.56
2033,432.54999999999995
2034,688.25
2035,817.1
2036,952.0
2037,897.8
2038,270.23
2039,842.1999999999999
2040,1142.8
2041,575.48
2042,340.51
2043,670.79
2044,630.02
2045,443.93000000000006
2046,883.2
2047,1289.7
2048,506.08000000000004
2049,1098.6000000000001
2050,930.8
2051,726.6
2052,210.59000000000003
2053,347.15999999999997
2054,361.58
2055,630.64
2056,678.51
2057,410.03
2058,337.69
2059,266.52
2060,286.44
2061,117.20999999999998
2062,493.40000000000003
2063,324.34999999999997
2064,300.75
2065,463.13000000000005
2066,444.14000000000004
2067,422.43
2068,613.8499999999999
2069,2.03348
2070,551.8
2071,636.1100000000001
2072,265.82000000000005
2073,748.3000000000001
2074,672.4000000000001
2075,503.27
2076,586.9300000000001
2077,571.95
2078,664.21
2079,458.78
2080,643.64
2081,197.2
2082,553.3199999999999
2083,600.99
2084,751.7
2085,435.89
2086,662.09
2087,698.76
2088,702.3800000000001
2089,544.4
2090,42.385000000000005
2091,860.0
2092,336.69
2093,500.53999999999996
2094,589.5
2095,1034.6999999999998
2096,697.88
2097,559.51
2098,141.02
2099,1063.9
