date,PUC
2019-12-31,2829.0
2020-12-31,1710.0
2021-12-31,2426.0
2022-12-31,2347.0
2023-12-31,3431.0
2024-12-31,4350.0
2025-12-31,2656.0
2026-12-31,1526.0
2027-12-31,1865.0
2028-12-31,3699.0
2029-12-31,2404.0
2030-12-31,3003.0
2031-12-31,2765.0
2032-12-31,2765.0
2033-12-31,1383.0
2034-12-31,3701.0
2035-12-31,3393.0
2036-12-31,3473.0
2037-12-31,3676.0
2038-12-31,1931.0
2039-12-31,2960.0
2040-12-31,3084.0
2041-12-31,2351.0
2042-12-31,4464.0
2043-12-31,2413.0
2044-12-31,6239.0
2045-12-31,3307.0
2046-12-31,1864.0
2047-12-31,1748.0
2048-12-31,897.0
2049-12-31,2991.0
2050-12-31,1718.0
2051-12-31,2485.0
2052-12-31,1887.0
2053-12-31,2409.0
2054-12-31,2642.0
2055-12-31,863.2
2056-12-31,4255.0
2057-12-31,3110.0
2058-12-31,1266.0
2059-12-31,2365.0
2060-12-31,2528.0
2061-12-31,2440.0
2062-12-31,2172.0
2063-12-31,1219.0
2064-12-31,711.0
2065-12-31,2103.0
2066-12-31,1207.0
2067-12-31,1294.0
2068-12-31,1358.0
2069-12-31,1548.0
2070-12-31,1906.0
2071-12-31,3551.0
2072-12-31,1107.0
2073-12-31,4028.0
2074-12-31,2784.0
2075-12-31,4324.0
2076-12-31,1717.0
2077-12-31,1527.0
2078-12-31,1004.0
2079-12-31,3819.0
2080-12-31,1318.0
2081-12-31,2695.0
2082-12-31,3875.0
2083-12-31,3196.0
2084-12-31,667.3
2085-12-31,2056.0
2086-12-31,1794.0
2087-12-31,1694.0
2088-12-31,2682.0
2089-12-31,1867.0
2090-12-31,1683.0
2091-12-31,1107.0
2092-12-31,1938.0
2093-12-31,1137.0
2094-12-31,1920.0
2095-12-31,2769.0
2096-12-31,2809.0
2097-12-31,1663.0
2098-12-31,1535.0
2099-12-31,1258.0
