,PUC
2019,1271.2
2020,1333.2
2021,1058.8999999999999
2022,851.8
2023,1110.7
2024,238.58
2025,640.9300000000001
2026,204.94
2027,258.4
2028,618.32
2029,409.74
2030,529.6
2031,589.0300000000001
2032,905.5999999999999
2033,689.7500000000001
2034,274.5
2035,643.89
2036,1314.4
2037,969.0999999999999
2038,751.9999999999999
2039,565.76
2040,185.10000000000002
2041,28.669
2042,216.34000000000003
2043,335.56999999999994
2044,393.76
2045,476.82000000000005
2046,307.34
2047,622.0699999999999
2048,165.91000000000003
2049,756.3999999999999
2050,589.21
2051,387.52
2052,946.3
2053,781.7
2054,544.0799999999999
2055,1308.6
2056,1465.2
2057,681.4
2058,456.78000000000003
2059,566.35
2060,461.73
2061,98.27
2062,214.27999999999997
2063,569.5799999999999
2064,183.98999999999998
2065,274.33
2066,277.24
2067,508.57
2068,294.42999999999995
2069,715.0100000000001
2070,634.73
2071,275.88999999999993
2072,547.1
2073,271.69
2074,311.85
2075,20.19896
2076,315.66999999999996
2077,469.12
2078,508.85
2079,694.08
2080,684.0699999999999
2081,340.59999999999997
2082,292.11
2083,1123.0
2084,371.51
2085,1071.6
2086,681.97
2087,942.6000000000001
2088,1250.8
2089,863.6999999999999
2090,516.6099999999999
2091,470.43
2092,409.75
2093,420.31000000000006
2094,820.1000000000001
2095,468.21
2096,584.8299999999999
2097,1022.3
2098,538.94
2099,519.69
