date,PUC
2019-12-31,2829.0
2020-12-31,3095.0
2021-12-31,989.3
2022-12-31,1545.0
2023-12-31,2432.0
2024-12-31,1848.0
2025-12-31,3128.0
2026-12-31,1869.0
2027-12-31,2173.0
2028-12-31,2685.0
2029-12-31,2955.0
2030-12-31,2821.0
2031-12-31,2461.0
2032-12-31,888.6
2033-12-31,2264.0
2034-12-31,1204.0
2035-12-31,3023.0
2036-12-31,1544.0
2037-12-31,3147.0
2038-12-31,1299.0
2039-12-31,1661.0
2040-12-31,2141.0
2041-12-31,2486.0
2042-12-31,2668.0
2043-12-31,639.1
2044-12-31,1745.0
2045-12-31,2712.0
2046-12-31,1924.0
2047-12-31,1591.0
2048-12-31,1197.0
2049-12-31,921.8
2050-12-31,2054.0
2051-12-31,2077.0
2052-12-31,2153.0
2053-12-31,2333.0
2054-12-31,2327.0
2055-12-31,1183.0
2056-12-31,1314.0
2057-12-31,2771.0
2058-12-31,1078.0
2059-12-31,2445.0
2060-12-31,1973.0
2061-12-31,1600.0
2062-12-31,2866.0
2063-12-31,988.6
2064-12-31,1265.0
2065-12-31,1266.0
2066-12-31,746.7
2067-12-31,1081.0
2068-12-31,1073.0
2069-12-31,4329.0
2070-12-31,959.2
2071-12-31,880.3
2072-12-31,3695.0
2073-12-31,1296.0
2074-12-31,1109.0
2075-12-31,1969.0
2076-12-31,1348.0
2077-12-31,2084.0
2078-12-31,2037.0
2079-12-31,1632.0
2080-12-31,935.2
2081-12-31,1463.0
2082-12-31,912.5
2083-12-31,802.5
2084-12-31,1855.0
2085-12-31,756.7
2086-12-31,1254.0
2087-12-31,797.6
2088-12-31,1193.0
2089-12-31,1405.0
2090-12-31,603.8
2091-12-31,909.3
2092-12-31,1436.0
2093-12-31,1322.0
2094-12-31,1223.0
2095-12-31,1491.0
2096-12-31,1018.0
2097-12-31,2005.0
2098-12-31,1074.0
2099-12-31,2153.0
