,PUC
2019,1271.2
2020,1894.6999999999998
2021,1161.5
2022,1505.3999999999999
2023,666.91
2024,837.0
2025,1215.5
2026,1186.4
2027,459.56
2028,587.37
2029,279.40000000000003
2030,200.07
2031,294.35
2032,467.95
2033,112.10199999999999
2034,638.69
2035,2123.7999999999997
2036,1586.3999999999999
2037,772.0
2038,578.3700000000001
2039,705.58
2040,527.5699999999999
2041,359.14
2042,393.96000000000004
2043,721.5
2044,528.52
2045,551.22
2046,631.06
2047,200.57999999999998
2048,244.90999999999997
2049,267.23
2050,740.6999999999999
2051,765.9
2052,758.5999999999999
2053,547.28
2054,344.55
2055,1117.4
2056,477.43
2057,930.6000000000001
2058,553.1300000000001
2059,272.34000000000003
2060,85.41
2061,441.09000000000003
2062,427.21999999999997
2063,1022.9000000000001
2064,883.1
2065,268.99
2066,285.87
2067,500.40999999999997
2068,1148.3999999999999
2069,318.45
2070,417.27000000000004
2071,47.572
2072,333.71
2073,409.33
2074,448.52
2075,0.03839
2076,0.0
2077,34.525999999999996
2078,812.1999999999999
2079,537.04
2080,1173.1
2081,1135.0
2082,1270.8999999999999
2083,412.23999999999995
2084,634.39
2085,76.07799999999999
2086,348.68
2087,347.86999999999995
2088,320.55
2089,271.26
2090,116.77000000000001
2091,571.8000000000001
2092,491.11
2093,1310.8
2094,1435.1
2095,554.35
2096,1476.8000000000002
2097,957.3000000000001
2098,1465.9
2099,924.1000000000001
