date,PUC
2019-12-31,2829.0
2020-12-31,1913.0
2021-12-31,2748.0
2022-12-31,2387.0
2023-12-31,2371.0
2024-12-31,2387.0
2025-12-31,2360.0
2026-12-31,2402.0
2027-12-31,2055.0
2028-12-31,1672.0
2029-12-31,1854.0
2030-12-31,2622.0
2031-12-31,2374.0
2032-12-31,1091.0
2033-12-31,1846.0
2034-12-31,2150.0
2035-12-31,1829.0
2036-12-31,1872.0
2037-12-31,3242.0
2038-12-31,1597.0
2039-12-31,2642.0
2040-12-31,3650.0
2041-12-31,2698.0
2042-12-31,3023.0
2043-12-31,1205.0
2044-12-31,2967.0
2045-12-31,2539.0
2046-12-31,1156.0
2047-12-31,2886.0
2048-12-31,1993.0
2049-12-31,2755.0
2050-12-31,2822.0
2051-12-31,1688.0
2052-12-31,1720.0
2053-12-31,1571.0
2054-12-31,1868.0
2055-12-31,3342.0
2056-12-31,2231.0
2057-12-31,1757.0
2058-12-31,1606.0
2059-12-31,1713.0
2060-12-31,2220.0
2061-12-31,1970.0
2062-12-31,4938.0
2063-12-31,3105.0
2064-12-31,1606.0
2065-12-31,1753.0
2066-12-31,4738.0
2067-12-31,4006.0
2068-12-31,2027.0
2069-12-31,1688.0
2070-12-31,1352.0
2071-12-31,1837.0
2072-12-31,1379.0
2073-12-31,2067.0
2074-12-31,2146.0
2075-12-31,2799.0
2076-12-31,2146.0
2077-12-31,2635.0
2078-12-31,5907.0
2079-12-31,3039.0
2080-12-31,1916.0
2081-12-31,3472.0
2082-12-31,2371.0
2083-12-31,2495.0
2084-12-31,1782.0
2085-12-31,1649.0
2086-12-31,1655.0
2087-12-31,2332.0
2088-12-31,1732.0
2089-12-31,1323.0
2090-12-31,2832.0
2091-12-31,1355.0
2092-12-31,2000.0
2093-12-31,4416.0
2094-12-31,2285.0
2095-12-31,2048.0
2096-12-31,1585.0
2097-12-31,1597.0
2098-12-31,3458.0
2099-12-31,2274.0
