date,PUC
2019-12-31,2829.0
2020-12-31,2751.0
2021-12-31,2155.0
2022-12-31,1699.0
2023-12-31,2186.0
2024-12-31,1536.0
2025-12-31,1759.0
2026-12-31,3131.0
2027-12-31,2514.0
2028-12-31,2754.0
2029-12-31,1381.0
2030-12-31,2466.0
2031-12-31,1915.0
2032-12-31,4437.0
2033-12-31,2131.0
2034-12-31,2700.0
2035-12-31,2610.0
2036-12-31,3626.0
2037-12-31,1985.0
2038-12-31,1783.0
2039-12-31,2051.0
2040-12-31,2949.0
2041-12-31,2139.0
2042-12-31,1964.0
2043-12-31,2464.0
2044-12-31,2578.0
2045-12-31,2104.0
2046-12-31,4028.0
2047-12-31,1760.0
2048-12-31,2067.0
2049-12-31,4008.0
2050-12-31,4053.0
2051-12-31,1764.0
2052-12-31,1681.0
2053-12-31,1902.0
2054-12-31,1298.0
2055-12-31,2933.0
2056-12-31,1952.0
2057-12-31,2685.0
2058-12-31,3236.0
2059-12-31,3153.0
2060-12-31,3695.0
2061-12-31,4149.0
2062-12-31,2851.0
2063-12-31,2024.0
2064-12-31,4276.0
2065-12-31,3135.0
2066-12-31,3104.0
2067-12-31,2646.0
2068-12-31,1610.0
2069-12-31,2422.0
2070-12-31,2422.0
2071-12-31,2345.0
2072-12-31,1494.0
2073-12-31,3518.0
2074-12-31,1919.0
2075-12-31,1319.0
2076-12-31,1899.0
2077-12-31,2963.0
2078-12-31,3129.0
2079-12-31,2430.0
2080-12-31,1175.0
2081-12-31,1632.0
2082-12-31,2583.0
2083-12-31,3819.0
2084-12-31,2950.0
2085-12-31,1928.0
2086-12-31,2893.0
2087-12-31,3133.0
2088-12-31,1787.0
2089-12-31,2999.0
2090-12-31,3959.0
2091-12-31,2026.0
2092-12-31,2215.0
2093-12-31,1601.0
2094-12-31,3457.0
2095-12-31,3842.0
2096-12-31,1853.0
2097-12-31,2299.0
2098-12-31,2898.0
2099-12-31,2398.0
