,PUC
2019,1271.2
2020,1915.1999999999998
2021,1120.3999999999999
2022,299.03
2023,380.37
2024,0.0
2025,462.40999999999997
2026,109.96000000000001
2027,613.8300000000002
2028,1368.6
2029,767.5999999999999
2030,160.20999999999998
2031,230.45999999999998
2032,1318.3999999999999
2033,228.45
2034,0.26732999999999996
2035,731.72
2036,1728.5
2037,774.0
2038,171.78
2039,310.95
2040,2445.7
2041,2577.3
2042,497.87999999999994
2043,873.5
2044,820.8
2045,2453.9
2046,1892.6999999999998
2047,154.86999999999998
2048,195.01000000000002
2049,1225.2999999999997
2050,1162.7
2051,625.5
2052,0.0
2053,168.49
2054,2153.7
2055,465.93999999999994
2056,877.7
2057,849.0999999999999
2058,673.4300000000001
2059,1117.1999999999998
2060,66.669
2061,156.25
2062,535.03
2063,2661.3
2064,2155.6
2065,1595.8999999999999
2066,1306.5
2067,67.227
2068,108.06999999999998
2069,318.78
2070,330.6
2071,1255.4999999999998
2072,1092.6999999999998
2073,415.12000000000006
2074,46.161
2075,1717.9
2076,762.6299999999999
2077,1685.0000000000002
2078,2752.8
2079,2952.2
2080,2274.0
2081,2840.7
2082,1581.3
2083,2138.5
2084,313.01
2085,1315.8
2086,4978.8
2087,2230.0
2088,1126.6
2089,537.4300000000001
2090,240.70999999999998
2091,667.01
2092,573.3499999999999
2093,0.001067
2094,499.07
2095,1386.2
2096,1739.2
2097,1544.3000000000002
2098,522.56
2099,327.74
