date,PUC
2019-12-31,2829.0
2020-12-31,3258.0
2021-12-31,2476.0
2022-12-31,2619.0
2023-12-31,2093.0
2024-12-31,2125.0
2025-12-31,2048.0
2026-12-31,2368.0
2027-12-31,3936.0
2028-12-31,6429.0
2029-12-31,1231.0
2030-12-31,1483.0
2031-12-31,6647.0
2032-12-31,2934.0
2033-12-31,684.6
2034-12-31,4328.0
2035-12-31,3914.0
2036-12-31,3314.0
2037-12-31,1966.0
2038-12-31,1511.0
2039-12-31,5417.0
2040-12-31,3329.0
2041-12-31,3264.0
2042-12-31,3064.0
2043-12-31,2820.0
2044-12-31,3666.0
2045-12-31,4345.0
2046-12-31,1885.0
2047-12-31,787.6
2048-12-31,2871.0
2049-12-31,6107.0
2050-12-31,3516.0
2051-12-31,1138.0
2052-12-31,1500.0
2053-12-31,5535.0
2054-12-31,2038.0
2055-12-31,2240.0
2056-12-31,5316.0
2057-12-31,2005.0
2058-12-31,2283.0
2059-12-31,2432.0
2060-12-31,2120.0
2061-12-31,1888.0
2062-12-31,5668.0
2063-12-31,6303.0
2064-12-31,5616.0
2065-12-31,3816.0
2066-12-31,3015.0
2067-12-31,1631.0
2068-12-31,3636.0
2069-12-31,3563.0
2070-12-31,4051.0
2071-12-31,13760.0
2072-12-31,8094.0
2073-12-31,545.8
2074-12-31,4191.0
2075-12-31,3330.0
2076-12-31,6950.0
2077-12-31,4452.0
2078-12-31,5199.0
2079-12-31,3447.0
2080-12-31,6015.0
2081-12-31,3897.0
2082-12-31,3034.0
2083-12-31,2696.0
2084-12-31,2406.0
2085-12-31,7022.0
2086-12-31,4286.0
2087-12-31,3044.0
2088-12-31,1346.0
2089-12-31,3512.0
2090-12-31,6596.0
2091-12-31,9563.0
2092-12-31,771.6
2093-12-31,471.4
2094-12-31,2892.0
2095-12-31,3039.0
2096-12-31,4127.0
2097-12-31,3359.0
2098-12-31,1257.0
2099-12-31,2245.0
